,filename,errors count,good words count,metric,Levenshtein,Letters sum
0,skazki/IMG_20190715_121602.marked.txt,1,59,0.01149,3,407
1,skazki/IMG_20190715_121953.marked.txt,1,51,0.01333,3,380
2,skazki/IMG_20190715_121837.marked.txt,2,47,0.02667,3,349
3,skazki/IMG_20190715_121918.marked.txt,2,42,0.03774,2,302
4,skazki/IMG_20190715_122405.marked.txt,17,41,0.20732,47,339
5,skazki/IMG_20190715_121719.marked.txt,2,41,0.02857,4,355
6,skazki/IMG_20190715_121433.marked.txt,9,41,0.09474,35,359
7,skazki/IMG_20190715_121625.marked.txt,5,39,0.06329,1,342
8,skazki/IMG_20190715_122854.marked.txt,13,37,0.17568,102,320
9,skazki/IMG_20190715_122421.marked.txt,0,37,0.0,4,275
10,mdd-redmi1/07.marked.txt,3,35,0.05263,4,272
11,skazki/IMG_20190715_122901.marked.txt,16,35,0.20513,77,358
12,mdd_cannon1/09.marked.txt,5,33,0.08333,6,272
13,skazki/IMG_20190715_121905.marked.txt,1,33,0.01818,2,255
14,skazki/IMG_20190715_122819.marked.txt,16,32,0.22222,116,313
15,skazki/IMG_20190715_122857.marked.txt,10,31,0.16949,109,265
16,telefon/IMG_20190715_123252.marked.txt,7,23,0.14,15,192
17,skazki/IMG_20190715_121019.marked.txt,26,20,0.42623,14,244
18,telefon/IMG_20190715_123133.marked.txt,4,19,0.09302,16,171
19,kov/b026ed12-bc33-482a-89d6-88a35722935a.marked.txt,34,8,0.50746,86,228
20,uploaded/IMG_20190822_182841.marked.txt,7,6,0.22581,36,88
21,uploaded/15662872188361764114561.marked.txt,26,5,0.4127,177,154
22,ola/IMG_5367.marked.txt,2,2,0.05128,23,58
23,ola/IMG_5372.marked.txt,2,2,0.05128,27,59
24,kov/227390e9-3e83-4883-9ecb-5d67de88584a.marked.txt,4,1,0.33333,46,31
