,filename,errors count,good words count,metric,Levenshtein,Letters sum
0,skazki/IMG_20190715_121240.marked.txt,7,62,0.07143,12,441
1,skazki/IMG_20190715_121044.marked.txt,19,60,0.19192,9,591
2,skazki/IMG_20190715_121403.marked.txt,10,60,0.1087,9,443
3,skazki/IMG_20190715_121400.marked.txt,7,59,0.07292,28,433
4,skazki/IMG_20190715_121423.marked.txt,8,59,0.08791,42,416
5,skazki/IMG_20190715_121558.marked.txt,3,59,0.03448,3,401
6,skazki/IMG_20190715_121602.marked.txt,1,59,0.01149,3,407
7,skazki/IMG_20190715_121608.marked.txt,10,58,0.10309,22,453
8,skazki/IMG_20190715_121728.marked.txt,5,58,0.05882,5,427
9,skazki/IMG_20190715_121948.marked.txt,4,57,0.04819,3,411
10,skazki/IMG_20190715_121048.marked.txt,23,56,0.2,57,548
11,skazki/IMG_20190715_121834.marked.txt,7,56,0.0814,7,397
12,skazki/IMG_20190715_121622.marked.txt,5,54,0.06024,9,403
13,skazki/IMG_20190715_121327.marked.txt,5,53,0.05747,40,417
14,skazki/IMG_20190715_121708.marked.txt,2,53,0.02439,3,391
15,skazki/IMG_20190715_121034.marked.txt,12,52,0.12632,7,461
16,skazki/IMG_20190715_121058.marked.txt,31,52,0.25,76,517
17,skazki/IMG_20190715_121339.marked.txt,1,52,0.0101,28,406
18,skazki/IMG_20190715_121416.marked.txt,2,52,0.02381,6,384
19,skazki/IMG_20190715_122456.marked.txt,0,52,0.0,4,375
20,skazki/IMG_20190715_121953.marked.txt,1,51,0.01333,3,380
21,skazki/IMG_20190715_121229.marked.txt,3,50,0.03846,30,375
22,skazki/IMG_20190715_121735.marked.txt,2,50,0.02597,2,402
23,skazki/IMG_20190715_122504.marked.txt,13,50,0.1383,58,408
24,skazki/IMG_20190715_121226.marked.txt,5,49,0.05556,13,400
25,skazki/IMG_20190715_121251.marked.txt,8,49,0.09302,57,360
26,skazki/IMG_20190715_122500.marked.txt,10,49,0.10638,18,430
27,skazki/IMG_20190715_121114.marked.txt,39,47,0.34821,47,532
28,skazki/IMG_20190715_121324.marked.txt,1,47,0.0125,9,353
29,skazki/IMG_20190715_121716.marked.txt,4,47,0.0396,14,408
30,skazki/IMG_20190715_121837.marked.txt,2,47,0.02667,3,349
31,skazki/IMG_20190715_121852.marked.txt,0,47,0.0,3,333
32,skazki/IMG_20190715_121936.marked.txt,2,47,0.02778,3,371
33,skazki/IMG_20190715_121101.marked.txt,21,46,0.21212,42,522
34,skazki/IMG_20190715_121218.marked.txt,7,46,0.08046,29,382
35,skazki/IMG_20190715_121254.marked.txt,3,46,0.04167,6,335
36,skazki/IMG_20190715_121725.marked.txt,4,46,0.05797,3,342
37,skazki/IMG_20190715_121823.marked.txt,2,46,0.03333,3,302
38,skazki/IMG_20190715_121930.marked.txt,3,46,0.04167,3,335
39,skazki/IMG_20190715_121237.marked.txt,2,45,0.02941,4,321
40,skazki/IMG_20190715_121307.marked.txt,2,45,0.0303,19,308
41,skazki/IMG_20190715_121335.marked.txt,19,45,0.18095,25,425
42,skazki/IMG_20190715_121827.marked.txt,3,45,0.04839,1,300
43,skazki/IMG_20190715_121545.marked.txt,2,44,0.02778,3,346
44,skazki/IMG_20190715_121705.marked.txt,5,44,0.06757,5,359
45,skazki/IMG_20190715_121945.marked.txt,1,44,0.0137,1,345
46,skazki/IMG_20190715_121810.marked.txt,2,43,0.0339,4,298
47,skazki/IMG_20190715_122753.marked.txt,4,43,0.05797,76,315
48,skazki/IMG_20190715_121740.marked.txt,10,42,0.12987,14,381
49,skazki/IMG_20190715_121747.marked.txt,12,42,0.13187,7,425
50,skazki/IMG_20190715_121918.marked.txt,2,42,0.03774,2,302
51,ola/IMG_5200.marked.txt,12,41,0.16216,26,335
52,skazki/IMG_20190715_121433.marked.txt,9,41,0.09474,35,359
53,skazki/IMG_20190715_121719.marked.txt,2,41,0.02857,4,355
54,skazki/IMG_20190715_121939.marked.txt,5,41,0.08333,6,325
55,skazki/IMG_20190715_122405.marked.txt,17,41,0.20732,47,339
56,skazki/IMG_20190715_121653.marked.txt,6,40,0.08,2,365
57,skazki/IMG_20190715_121625.marked.txt,5,39,0.06329,1,342
58,skazki/IMG_20190715_121640.marked.txt,6,39,0.09524,4,312
59,skazki/IMG_20190715_122507.marked.txt,9,39,0.10714,18,346
60,skazki/IMG_20190715_122518.marked.txt,6,39,0.07229,44,356
61,skazki/IMG_20190715_122909.marked.txt,20,39,0.22222,85,344
62,skazki/IMG_20190715_121138.marked.txt,1,38,0.01667,11,290
63,skazki/IMG_20190715_121656.marked.txt,6,38,0.07407,3,370
64,mdd_cannon1/07.marked.txt,1,37,0.01786,7,271
65,skazki/IMG_20190715_121436.marked.txt,31,37,0.2844,87,402
66,skazki/IMG_20190715_121530.marked.txt,2,37,0.03704,4,281
67,skazki/IMG_20190715_122232.marked.txt,17,37,0.1954,112,329
68,skazki/IMG_20190715_122421.marked.txt,0,37,0.0,4,275
69,skazki/IMG_20190715_122854.marked.txt,13,37,0.17568,102,320
70,skazki/IMG_20190715_121205.marked.txt,4,36,0.06154,14,295
71,skazki/IMG_20190715_121303.marked.txt,11,36,0.14667,28,317
72,mdd-redmi1/07.marked.txt,3,35,0.05263,4,272
73,mdd_cannon1/06.marked.txt,3,35,0.05263,11,254
74,skazki/IMG_20190715_121527.marked.txt,1,35,0.02174,2,261
75,skazki/IMG_20190715_121847.marked.txt,2,35,0.03571,8,260
76,skazki/IMG_20190715_122750.marked.txt,4,35,0.05714,20,294
77,skazki/IMG_20190715_122816.marked.txt,16,35,0.17778,63,356
