,filename,errors count,good words count,metric,Levenshtein,
48,skazki/IMG_20190715_121827.marked.txt,1,45,0.02174,1,0.021739130434783
52,skazki/IMG_20190715_121945.marked.txt,1,44,0.02222,1,0.022222222222222
71,skazki/IMG_20190715_121625.marked.txt,4,39,0.09302,1,0.023255813953488
123,skazki/IMG_20190715_121902.marked.txt,1,31,0.03125,1,0.03125
138,mdd-redmi1/05.marked.txt,0,25,0,1,0.04
146,chudo_derevo_redmi/IMG_20190715_112939.marked.txt,0,23,0,1,0.043478260869565
201,mdd-redmi1/02.marked.txt,6,10,0.375,1,0.0625
26,skazki/IMG_20190715_121735.marked.txt,1,50,0.01961,2,0.03921568627451
44,skazki/IMG_20190715_121813.marked.txt,0,46,0,2,0.043478260869565
59,skazki/IMG_20190715_121918.marked.txt,1,42,0.02326,2,0.046511627906977
69,skazki/IMG_20190715_121653.marked.txt,6,40,0.13043,2,0.043478260869565
77,skazki/IMG_20190715_121751.marked.txt,1,39,0.025,2,0.05
93,skazki/IMG_20190715_121527.marked.txt,0,35,0,2,0.057142857142857
99,skazki/IMG_20190715_121208.marked.txt,4,34,0.10526,2,0.052631578947369
110,skazki/IMG_20190715_121905.marked.txt,0,33,0,2,0.060606060606061
158,chudo_derevo_redmi/IMG_20190715_112928.marked.txt,3,20,0.13043,2,0.086956521739131
186,telefon/IMG_20190715_123223.marked.txt,1,15,0.0625,2,0.125
204,chudo_derevo_redmi/IMG_20190715_112912.marked.txt,4,8,0.33333,2,0.166666666666667
6,skazki/IMG_20190715_121558.marked.txt,2,59,0.03279,3,0.049180327868853
7,skazki/IMG_20190715_121602.marked.txt,0,59,0,3,0.050847457627119
10,skazki/IMG_20190715_121948.marked.txt,1,57,0.01724,3,0.051724137931035
18,skazki/IMG_20190715_121708.marked.txt,0,53,0,3,0.056603773584906
24,skazki/IMG_20190715_121953.marked.txt,1,51,0.01923,3,0.057692307692308
35,skazki/IMG_20190715_121837.marked.txt,1,47,0.02083,3,0.0625
36,skazki/IMG_20190715_121852.marked.txt,0,47,0,3,0.063829787234043
37,skazki/IMG_20190715_121936.marked.txt,1,47,0.02083,3,0.0625
41,skazki/IMG_20190715_121725.marked.txt,2,46,0.04167,3,0.0625
42,skazki/IMG_20190715_121823.marked.txt,0,46,0,3,0.065217391304348
43,skazki/IMG_20190715_121930.marked.txt,1,46,0.02128,3,0.063829787234043
50,skazki/IMG_20190715_121545.marked.txt,1,44,0.02222,3,0.066666666666667
80,skazki/IMG_20190715_121656.marked.txt,5,38,0.11628,3,0.069767441860465
118,skazki/IMG_20190715_121844.marked.txt,1,31,0.03125,3,0.09375
119,skazki/IMG_20190715_122442.marked.txt,0,31,0,3,0.096774193548387
144,mdd_cannon1/05.marked.txt,1,24,0.04,3,0.12
187,mdd-redmi1/03.marked.txt,2,14,0.125,3,0.1875
207,mdd_cannon1/01crop.marked.txt,4,4,0.5,3,0.375
15,skazki/IMG_20190715_121915.marked.txt,1,55,0.01786,4,0.071428571428572
23,skazki/IMG_20190715_122456.marked.txt,0,52,0,4,0.076923076923077
31,skazki/IMG_20190715_121513.marked.txt,1,49,0.02,4,0.08
45,skazki/IMG_20190715_121237.marked.txt,2,45,0.04255,4,0.085106382978723
53,skazki/IMG_20190715_121810.marked.txt,2,43,0.04444,4,0.088888888888889
55,skazki/IMG_20190715_121317.marked.txt,2,43,0.04444,4,0.088888888888889
64,skazki/IMG_20190715_121719.marked.txt,1,41,0.02381,4,0.095238095238095
72,skazki/IMG_20190715_121640.marked.txt,5,39,0.11364,4,0.090909090909091
76,skazki/IMG_20190715_121142.marked.txt,2,39,0.04878,4,0.097560975609756
84,skazki/IMG_20190715_121530.marked.txt,1,37,0.02632,4,0.105263157894737
86,skazki/IMG_20190715_122421.marked.txt,0,37,0,4,0.108108108108108
91,mdd-redmi1/07.marked.txt,3,35,0.07895,4,0.105263157894737
126,mdd_cannon1/11.marked.txt,3,30,0.09091,4,0.121212121212121
156,ola/IMG_5374.marked.txt,1,21,0.04545,4,0.181818181818182
164,telefon/IMG_20190715_123159.marked.txt,0,20,0,4,0.2
171,chudo_derevo_redmi/IMG_20190715_112936.marked.txt,4,18,0.18182,4,0.181818181818182
173,telefon/IMG_20190715_123208.marked.txt,2,17,0.10526,4,0.210526315789474
9,skazki/IMG_20190715_121728.marked.txt,4,58,0.06452,5,0.080645161290323
51,skazki/IMG_20190715_121705.marked.txt,3,44,0.06383,5,0.106382978723404
103,ola/IMG_5201.marked.txt,1,34,0.02857,5,0.142857142857143
104,skazki/IMG_20190715_121215.marked.txt,2,34,0.05556,5,0.138888888888889
132,chudo_derevo_redmi/IMG_20190715_113004.marked.txt,2,27,0.06897,5,0.172413793103448
170,telefon/IMG_20190715_123331.marked.txt,2,18,0.1,5,0.25
208,mdd-redmi1/01crop.marked.txt,4,3,0.57143,5,0.714285714285714
22,skazki/IMG_20190715_121416.marked.txt,2,52,0.03704,6,0.111111111111111
40,skazki/IMG_20190715_121254.marked.txt,1,46,0.02128,6,0.127659574468085
65,skazki/IMG_20190715_121939.marked.txt,3,41,0.06818,6,0.136363636363636
108,mdd_cannon1/09.marked.txt,3,33,0.08333,6,0.166666666666667
141,chudo_derevo_redmi/IMG_20190715_113013.marked.txt,1,24,0.04,6,0.24
163,skazki/IMG_20190715_121157.marked.txt,1,20,0.04762,6,0.285714285714286
176,telefon/IMG_20190715_123156.marked.txt,6,16,0.27273,6,0.272727272727273
180,ola/IMG_5370.marked.txt,6,16,0.27273,6,0.272727272727273
183,telefon/IMG_20190715_123233.marked.txt,2,15,0.11765,6,0.352941176470588
206,skazki/IMG_20190715_121011.marked.txt,5,7,0.41667,6,0.5
12,skazki/IMG_20190715_121834.marked.txt,0,56,0,7,0.125
