,filename,errors count,good words count,metric,Levenshtein,
146,mdd-redmi1/05.marked.txt,0,41,0,1,0.024390243902439
176,chudo_derevo_redmi/IMG_20190715_112939.marked.txt,0,31,0,1,0.032258064516129
50,skazki/IMG_20190715_121852.marked.txt,0,73,0,3,0.041095890410959
120,skazki/IMG_20190715_122442.marked.txt,0,52,0,3,0.057692307692308
28,skazki/IMG_20190715_122456.marked.txt,0,80,0,4,0.05
84,skazki/IMG_20190715_122421.marked.txt,0,60,0,4,0.066666666666667
7,skazki/IMG_20190715_122451.marked.txt,0,89,0,11,0.123595505617978
139,ola/IMG_5373.marked.txt,0,43,0,44,1.02325581395349
0,skazki/IMG_20190715_121339.marked.txt,1,98,0.0101,28,0.282828282828283
12,skazki/IMG_20190715_121602.marked.txt,1,86,0.01149,3,0.03448275862069
35,skazki/IMG_20190715_121915.marked.txt,1,79,0.0125,4,0.05
29,skazki/IMG_20190715_121324.marked.txt,1,79,0.0125,9,0.1125
46,skazki/IMG_20190715_121953.marked.txt,1,74,0.01333,3,0.04
51,skazki/IMG_20190715_121945.marked.txt,1,72,0.0137,1,0.013698630136986
75,skazki/IMG_20190715_121813.marked.txt,1,64,0.01538,2,0.030769230769231
86,skazki/IMG_20190715_121138.marked.txt,1,59,0.01667,11,0.183333333333333
102,mdd_cannon1/07.marked.txt,1,55,0.01786,7,0.125
114,skazki/IMG_20190715_121905.marked.txt,1,54,0.01818,2,0.036363636363636
108,mdd-redmi1/08.marked.txt,1,54,0.01818,7,0.127272727272727
124,skazki/IMG_20190715_121902.marked.txt,1,51,0.01923,1,0.019230769230769
130,skazki/IMG_20190715_122439.marked.txt,1,47,0.02083,7,0.145833333333333
132,skazki/IMG_20190715_121527.marked.txt,1,45,0.02174,2,0.043478260869565
135,skazki/IMG_20190715_121844.marked.txt,1,44,0.02222,3,0.066666666666667
8,skazki/IMG_20190715_121513.marked.txt,2,88,0.02222,4,0.044444444444445
134,ola/IMG_5371.marked.txt,1,44,0.02222,10,0.222222222222222
138,ola/IMG_5369.marked.txt,1,43,0.02273,50,1.13636363636364
21,skazki/IMG_20190715_121416.marked.txt,2,82,0.02381,6,0.071428571428572
26,skazki/IMG_20190715_121708.marked.txt,2,80,0.02439,3,0.036585365853659
148,mdd_cannon1/05.marked.txt,1,40,0.02439,3,0.073170731707317
43,skazki/IMG_20190715_121735.marked.txt,2,75,0.02597,2,0.025974025974026
49,skazki/IMG_20190715_121837.marked.txt,2,73,0.02667,3,0.04
52,skazki/IMG_20190715_121545.marked.txt,2,70,0.02778,3,0.041666666666667
53,skazki/IMG_20190715_121936.marked.txt,2,70,0.02778,3,0.041666666666667
165,chudo_derevo_redmi/IMG_20190715_113013.marked.txt,1,35,0.02778,6,0.166666666666667
61,skazki/IMG_20190715_121719.marked.txt,2,68,0.02857,4,0.057142857142857
63,skazki/IMG_20190715_121237.marked.txt,2,66,0.02941,4,0.058823529411765
73,skazki/IMG_20190715_121307.marked.txt,2,64,0.0303,19,0.287878787878788
2,skazki/IMG_20190715_121314.marked.txt,3,94,0.03093,20,0.206185567010309
179,telefon/IMG_20190715_123223.marked.txt,1,31,0.03125,2,0.0625
177,chudo_derevo_redmi/IMG_20190715_113041.marked.txt,1,31,0.03125,15,0.46875
181,skazki/IMG_20190715_121153.marked.txt,1,30,0.03226,18,0.580645161290323
91,skazki/IMG_20190715_121823.marked.txt,2,58,0.03333,3,0.05
92,mdd-redmi1/12.marked.txt,2,58,0.03333,16,0.266666666666667
97,skazki/IMG_20190715_121751.marked.txt,2,57,0.0339,2,0.033898305084746
96,skazki/IMG_20190715_121810.marked.txt,2,57,0.0339,4,0.067796610169492
15,skazki/IMG_20190715_121558.marked.txt,3,84,0.03448,3,0.03448275862069
112,skazki/IMG_20190715_121847.marked.txt,2,54,0.03571,8,0.142857142857143
23,skazki/IMG_20190715_121351.marked.txt,3,81,0.03571,31,0.369047619047619
119,skazki/IMG_20190715_121530.marked.txt,2,52,0.03704,4,0.074074074074074
118,mdd_cannon1/08.marked.txt,2,52,0.03704,10,0.185185185185185
123,skazki/IMG_20190715_121918.marked.txt,2,51,0.03774,2,0.037735849056604
41,skazki/IMG_20190715_121229.marked.txt,3,75,0.03846,30,0.384615384615385
1,skazki/IMG_20190715_121716.marked.txt,4,97,0.0396,14,0.138613861386139
59,skazki/IMG_20190715_121930.marked.txt,3,69,0.04167,3,0.041666666666667
56,skazki/IMG_20190715_121254.marked.txt,3,69,0.04167,6,0.083333333333333
66,skazki/IMG_20190715_121317.marked.txt,3,66,0.04348,4,0.057971014492754
137,ola/IMG_5365.marked.txt,2,43,0.04444,18,0.4
76,skazki/IMG_20190715_121956.marked.txt,3,64,0.04478,26,0.388059701492537
143,chudo_derevo_redmi/IMG_20190715_113004.marked.txt,2,42,0.04545,5,0.113636363636364
144,ola/IMG_5366.marked.txt,2,42,0.04545,21,0.477272727272727
32,skazki/IMG_20190715_121948.marked.txt,4,79,0.04819,3,0.036144578313253
87,skazki/IMG_20190715_121827.marked.txt,3,59,0.04839,1,0.016129032258065
154,telefon/IMG_20190715_123148.marked.txt,2,39,0.04878,25,0.609756097560976
158,ola/IMG_5374.marked.txt,2,38,0.05,4,0.1
157,skazki/IMG_20190715_121157.marked.txt,2,38,0.05,6,0.15
