,filename,errors count,good words count,metric,Levenshtein,Letters sum,
146,mdd-redmi1/05.marked.txt,0,41,0,1,211,0.004739336492891
176,chudo_derevo_redmi/IMG_20190715_112939.marked.txt,0,31,0,1,164,0.00609756097561
50,skazki/IMG_20190715_121852.marked.txt,0,73,0,3,333,0.009009009009009
120,skazki/IMG_20190715_122442.marked.txt,0,52,0,3,252,0.011904761904762
28,skazki/IMG_20190715_122456.marked.txt,0,80,0,4,375,0.010666666666667
84,skazki/IMG_20190715_122421.marked.txt,0,60,0,4,275,0.014545454545455
7,skazki/IMG_20190715_122451.marked.txt,0,89,0,11,383,0.028720626631854
139,ola/IMG_5373.marked.txt,0,43,0,44,119,0.369747899159664
0,skazki/IMG_20190715_121339.marked.txt,1,98,0.0101,28,406,0.068965517241379
12,skazki/IMG_20190715_121602.marked.txt,1,86,0.01149,3,407,0.007371007371007
35,skazki/IMG_20190715_121915.marked.txt,1,79,0.0125,4,367,0.010899182561308
29,skazki/IMG_20190715_121324.marked.txt,1,79,0.0125,9,353,0.025495750708215
46,skazki/IMG_20190715_121953.marked.txt,1,74,0.01333,3,380,0.007894736842105
51,skazki/IMG_20190715_121945.marked.txt,1,72,0.0137,1,345,0.002898550724638
75,skazki/IMG_20190715_121813.marked.txt,1,64,0.01538,2,306,0.006535947712418
86,skazki/IMG_20190715_121138.marked.txt,1,59,0.01667,11,290,0.037931034482759
102,mdd_cannon1/07.marked.txt,1,55,0.01786,7,271,0.025830258302583
114,skazki/IMG_20190715_121905.marked.txt,1,54,0.01818,2,255,0.007843137254902
108,mdd-redmi1/08.marked.txt,1,54,0.01818,7,230,0.030434782608696
124,skazki/IMG_20190715_121902.marked.txt,1,51,0.01923,1,241,0.004149377593361
130,skazki/IMG_20190715_122439.marked.txt,1,47,0.02083,7,244,0.028688524590164
132,skazki/IMG_20190715_121527.marked.txt,1,45,0.02174,2,261,0.007662835249042
135,skazki/IMG_20190715_121844.marked.txt,1,44,0.02222,3,210,0.014285714285714
8,skazki/IMG_20190715_121513.marked.txt,2,88,0.02222,4,368,0.010869565217391
134,ola/IMG_5371.marked.txt,1,44,0.02222,10,157,0.063694267515924
138,ola/IMG_5369.marked.txt,1,43,0.02273,50,115,0.434782608695652
21,skazki/IMG_20190715_121416.marked.txt,2,82,0.02381,6,384,0.015625
26,skazki/IMG_20190715_121708.marked.txt,2,80,0.02439,3,391,0.0076726342711
148,mdd_cannon1/05.marked.txt,1,40,0.02439,3,211,0.014218009478673
43,skazki/IMG_20190715_121735.marked.txt,2,75,0.02597,2,402,0.004975124378109
49,skazki/IMG_20190715_121837.marked.txt,2,73,0.02667,3,349,0.008595988538682
52,skazki/IMG_20190715_121545.marked.txt,2,70,0.02778,3,346,0.008670520231214
53,skazki/IMG_20190715_121936.marked.txt,2,70,0.02778,3,371,0.008086253369272
165,chudo_derevo_redmi/IMG_20190715_113013.marked.txt,1,35,0.02778,6,172,0.034883720930233
61,skazki/IMG_20190715_121719.marked.txt,2,68,0.02857,4,355,0.011267605633803
63,skazki/IMG_20190715_121237.marked.txt,2,66,0.02941,4,321,0.012461059190031
73,skazki/IMG_20190715_121307.marked.txt,2,64,0.0303,19,308,0.061688311688312
2,skazki/IMG_20190715_121314.marked.txt,3,94,0.03093,20,356,0.056179775280899
179,telefon/IMG_20190715_123223.marked.txt,1,31,0.03125,2,134,0.014925373134328
177,chudo_derevo_redmi/IMG_20190715_113041.marked.txt,1,31,0.03125,15,182,0.082417582417582
181,skazki/IMG_20190715_121153.marked.txt,1,30,0.03226,18,134,0.134328358208955
91,skazki/IMG_20190715_121823.marked.txt,2,58,0.03333,3,302,0.009933774834437
92,mdd-redmi1/12.marked.txt,2,58,0.03333,16,269,0.059479553903346
97,skazki/IMG_20190715_121751.marked.txt,2,57,0.0339,2,276,0.007246376811594
96,skazki/IMG_20190715_121810.marked.txt,2,57,0.0339,4,298,0.013422818791946
15,skazki/IMG_20190715_121558.marked.txt,3,84,0.03448,3,401,0.007481296758105
112,skazki/IMG_20190715_121847.marked.txt,2,54,0.03571,8,260,0.030769230769231
23,skazki/IMG_20190715_121351.marked.txt,3,81,0.03571,31,401,0.077306733167082
119,skazki/IMG_20190715_121530.marked.txt,2,52,0.03704,4,281,0.01423487544484
118,mdd_cannon1/08.marked.txt,2,52,0.03704,10,229,0.043668122270742
123,skazki/IMG_20190715_121918.marked.txt,2,51,0.03774,2,302,0.006622516556291
41,skazki/IMG_20190715_121229.marked.txt,3,75,0.03846,30,375,0.08
1,skazki/IMG_20190715_121716.marked.txt,4,97,0.0396,14,408,0.034313725490196
59,skazki/IMG_20190715_121930.marked.txt,3,69,0.04167,3,335,0.008955223880597
56,skazki/IMG_20190715_121254.marked.txt,3,69,0.04167,6,335,0.017910447761194
66,skazki/IMG_20190715_121317.marked.txt,3,66,0.04348,4,315,0.012698412698413
137,ola/IMG_5365.marked.txt,2,43,0.04444,18,153,0.117647058823529
76,skazki/IMG_20190715_121956.marked.txt,3,64,0.04478,26,340,0.076470588235294
143,chudo_derevo_redmi/IMG_20190715_113004.marked.txt,2,42,0.04545,5,197,0.025380710659899
144,ola/IMG_5366.marked.txt,2,42,0.04545,21,150,0.14
32,skazki/IMG_20190715_121948.marked.txt,4,79,0.04819,3,411,0.007299270072993
87,skazki/IMG_20190715_121827.marked.txt,3,59,0.04839,1,300,0.003333333333333
154,telefon/IMG_20190715_123148.marked.txt,2,39,0.04878,25,192,0.130208333333333
158,ola/IMG_5374.marked.txt,2,38,0.05,4,178,0.02247191011236
157,skazki/IMG_20190715_121157.marked.txt,2,38,0.05,6,174,0.03448275862069
101,skazki/IMG_20190715_121346.marked.txt,3,56,0.05085,10,291,0.034364261168385
160,ola/IMG_5367.marked.txt,2,37,0.05128,23,58,0.396551724137931
161,ola/IMG_5372.marked.txt,2,37,0.05128,27,59,0.457627118644068
107,mdd-redmi1/07.marked.txt,3,54,0.05263,4,272,0.014705882352941
110,mdd_cannon1/06.marked.txt,3,54,0.05263,11,254,0.043307086614173
163,ola/IMG_5368.marked.txt,2,36,0.05263,23,57,0.403508771929825
122,mdd_cannon1/11.marked.txt,3,52,0.05455,4,290,0.013793103448276
14,skazki/IMG_20190715_121226.marked.txt,5,85,0.05556,13,400,0.0325
125,skazki/IMG_20190715_122434.marked.txt,3,50,0.0566,28,238,0.117647058823529
171,mdd-redmi1/04.marked.txt,2,33,0.05714,7,166,0.042168674698795
172,mdd_cannon1/04.marked.txt,2,33,0.05714,9,166,0.05421686746988
64,skazki/IMG_20190715_122750.marked.txt,4,66,0.05714,20,294,0.068027210884354
19,skazki/IMG_20190715_121327.marked.txt,5,82,0.05747,40,417,0.095923261390887
68,skazki/IMG_20190715_121725.marked.txt,4,65,0.05797,3,342,0.008771929824561
71,skazki/IMG_20190715_122753.marked.txt,4,65,0.05797,76,315,0.241269841269841
27,skazki/IMG_20190715_121728.marked.txt,5,80,0.05882,5,427,0.011709601873536
39,skazki/IMG_20190715_121622.marked.txt,5,78,0.06024,9,403,0.022332506203474
80,skazki/IMG_20190715_121205.marked.txt,4,61,0.06154,14,295,0.047457627118644
85,skazki/IMG_20190715_122448.marked.txt,4,60,0.0625,11,303,0.036303630363036
45,skazki/IMG_20190715_121625.marked.txt,5,74,0.06329,1,342,0.002923976608187
94,skazki/IMG_20190715_121142.marked.txt,4,58,0.06452,4,297,0.013468013468014
58,skazki/IMG_20190715_121705.marked.txt,5,69,0.06757,5,359,0.013927576601671
194,mdd-redmi1/03.marked.txt,2,27,0.06897,3,127,0.023622047244095
113,skazki/IMG_20190715_121855.marked.txt,4,54,0.06897,7,243,0.02880658436214
195,mdd_cannon1/03.marked.txt,2,26,0.07143,8,124,0.064516129032258
5,skazki/IMG_20190715_121240.marked.txt,7,91,0.07143,12,441,0.027210884353742
40,skazki/IMG_20190715_122518.marked.txt,6,77,0.07229,44,356,0.123595505617978
74,skazki/IMG_20190715_122836.marked.txt,5,64,0.07246,24,291,0.082474226804124
6,skazki/IMG_20190715_121400.marked.txt,7,89,0.07292,28,433,0.064665127020785
42,skazki/IMG_20190715_121656.marked.txt,6,75,0.07407,3,370,0.008108108108108
82,skazki/IMG_20190715_121634.marked.txt,5,61,0.07576,31,330,0.093939393939394
90,skazki/IMG_20190715_122431.marked.txt,5,59,0.07812,8,282,0.028368794326241
88,skazki/IMG_20190715_122849.marked.txt,5,59,0.07812,53,302,0.175496688741722
57,skazki/IMG_20190715_121653.marked.txt,6,69,0.08,2,365,0.005479452054795
25,skazki/IMG_20190715_121218.marked.txt,7,80,0.08046,29,382,0.075916230366492
170,telefon/IMG_20190715_123208.marked.txt,3,34,0.08108,4,166,0.024096385542169
31,skazki/IMG_20190715_121834.marked.txt,7,79,0.0814,7,397,0.017632241813602
103,mdd_cannon1/09.marked.txt,5,55,0.08333,6,272,0.022058823529412
104,skazki/IMG_20190715_121939.marked.txt,5,55,0.08333,6,325,0.018461538461539
70,skazki/IMG_20190715_122742.marked.txt,6,65,0.08451,101,289,0.349480968858132
109,mdd-redmi1/09.marked.txt,5,54,0.08475,11,269,0.04089219330855
116,mdd-redmi1/06.marked.txt,5,53,0.08621,21,250,0.084
145,chudo_derevo_redmi/IMG_20190715_112953.marked.txt,4,42,0.08696,7,179,0.039106145251397
121,mdd_cannon1/10.marked.txt,5,52,0.08772,16,229,0.069868995633188
18,skazki/IMG_20190715_121423.marked.txt,8,83,0.08791,42,416,0.100961538461538
147,chudo_derevo_redmi/IMG_20190715_112947.marked.txt,4,40,0.09091,7,201,0.034825870646766
83,skazki/IMG_20190715_122417.marked.txt,6,60,0.09091,33,268,0.123134328358209
150,chudo_derevo_redmi/IMG_20190715_113026.marked.txt,4,39,0.09302,9,202,0.044554455445545
152,telefon/IMG_20190715_123133.marked.txt,4,39,0.09302,16,171,0.093567251461988
37,skazki/IMG_20190715_121251.marked.txt,8,78,0.09302,57,360,0.158333333333333
184,telefon/IMG_20190715_123331.marked.txt,3,29,0.09375,5,164,0.030487804878049
13,skazki/IMG_20190715_121413.marked.txt,9,86,0.09474,27,430,0.062790697674419
11,skazki/IMG_20190715_121433.marked.txt,9,86,0.09474,35,359,0.097493036211699
95,skazki/IMG_20190715_121640.marked.txt,6,57,0.09524,4,312,0.012820512820513
189,chudo_derevo_redmi/IMG_20190715_112928.marked.txt,3,28,0.09677,2,158,0.012658227848101
106,skazki/IMG_20190715_121215.marked.txt,6,55,0.09836,5,270,0.018518518518519
77,skazki/IMG_20190715_122409.marked.txt,7,64,0.09859,50,295,0.169491525423729
111,skazki/IMG_20190715_121208.marked.txt,6,54,0.1,2,294,0.006802721088435
164,telefon/IMG_20190715_123159.marked.txt,4,36,0.1,4,167,0.023952095808383
166,chudo_derevo_redmi/IMG_20190715_113048.marked.txt,4,35,0.10256,8,209,0.038277511961723
9,skazki/IMG_20190715_121608.marked.txt,10,87,0.10309,22,453,0.048565121412804
140,skazki/IMG_20190715_121517.marked.txt,5,43,0.10417,15,251,0.059760956175299
16,skazki/IMG_20190715_122500.marked.txt,10,84,0.10638,18,430,0.041860465116279
44,skazki/IMG_20190715_122507.marked.txt,9,75,0.10714,18,346,0.052023121387283
197,chudo_derevo_redmi/IMG_20190715_113037.marked.txt,3,25,0.10714,43,126,0.341269841269841
93,ola/IMG_5201.marked.txt,7,58,0.10769,5,325,0.015384615384615
20,skazki/IMG_20190715_121403.marked.txt,10,82,0.1087,9,443,0.020316027088036
129,skazki/IMG_20190715_121928.marked.txt,6,48,0.11111,10,274,0.036496350364964
149,skazki/IMG_20190715_122829.marked.txt,5,40,0.11111,60,182,0.32967032967033
105,mdd-redmi1/10.marked.txt,7,55,0.1129,21,223,0.094170403587444
155,chudo_derevo_redmi/IMG_20190715_112958.marked.txt,5,38,0.11628,15,182,0.082417582417582
34,skazki/IMG_20190715_121611.marked.txt,11,79,0.12222,13,438,0.029680365296804
193,chudo_derevo_redmi/IMG_20190715_112936.marked.txt,4,28,0.125,4,155,0.025806451612903
204,telefon/IMG_20190715_123233.marked.txt,3,21,0.125,6,112,0.053571428571429
190,telefon/IMG_20190715_123123.marked.txt,4,28,0.125,18,122,0.147540983606557
17,skazki/IMG_20190715_121034.marked.txt,12,83,0.12632,7,461,0.015184381778742
115,mdd_cannon1/12.marked.txt,8,54,0.12903,24,262,0.091603053435115
62,skazki/IMG_20190715_121740.marked.txt,10,67,0.12987,14,381,0.036745406824147
30,skazki/IMG_20190715_121747.marked.txt,12,79,0.13187,7,425,0.016470588235294
153,telefon/IMG_20190715_123137.marked.txt,6,39,0.13333,15,202,0.074257425742574
159,telefon/IMG_20190715_123145.marked.txt,6,38,0.13636,9,216,0.041666666666667
60,skazki/IMG_20190715_121631.marked.txt,11,69,0.1375,8,366,0.021857923497268
22,skazki/IMG_20190715_122504.marked.txt,13,81,0.1383,58,408,0.142156862745098
142,telefon/IMG_20190715_123252.marked.txt,7,43,0.14,15,192,0.078125
131,skazki/IMG_20190715_122839.marked.txt,8,47,0.14545,78,245,0.318367346938775
72,skazki/IMG_20190715_121303.marked.txt,11,64,0.14667,28,317,0.088328075709779
151,skazki/IMG_20190715_122516.marked.txt,7,39,0.15217,18,253,0.071146245059289
136,skazki/IMG_20190715_122904.marked.txt,8,44,0.15385,81,241,0.336099585062241
174,chudo_derevo_redmi/IMG_20190715_112922.marked.txt,6,32,0.15789,12,157,0.076433121019108
78,ola/IMG_5200.marked.txt,12,62,0.16216,26,335,0.077611940298508
133,mdd-redmi1/11.marked.txt,9,45,0.16667,31,268,0.115671641791045
126,skazki/IMG_20190715_122803.marked.txt,10,49,0.16949,69,236,0.292372881355932
127,skazki/IMG_20190715_122857.marked.txt,10,49,0.16949,109,265,0.411320754716981
183,telefon/IMG_20190715_123324.marked.txt,6,29,0.17143,16,153,0.104575163398693
187,chudo_derevo_redmi/IMG_20190715_113023.marked.txt,6,29,0.17143,38,161,0.236024844720497
81,skazki/IMG_20190715_122854.marked.txt,13,61,0.17568,102,320,0.31875
47,skazki/IMG_20190715_122816.marked.txt,16,74,0.17778,63,356,0.176966292134831
200,telefon/IMG_20190715_123426.marked.txt,5,23,0.17857,53,119,0.445378151260504
175,ola/IMG_5370.marked.txt,7,32,0.17949,6,162,0.037037037037037
10,skazki/IMG_20190715_121335.marked.txt,19,86,0.18095,25,425,0.058823529411765
178,telefon/IMG_20190715_123522.marked.txt,7,31,0.18421,40,166,0.240963855421687
65,skazki/IMG_20190715_122826.marked.txt,15,66,0.18519,70,316,0.221518987341772
67,skazki/IMG_20190715_122759.marked.txt,15,66,0.18519,77,319,0.241379310344828
182,telefon/IMG_20190715_123258.marked.txt,7,30,0.18919,10,159,0.062893081761006
24,skazki/IMG_20190715_121044.marked.txt,19,80,0.19192,9,591,0.015228426395939
54,skazki/IMG_20190715_122232.marked.txt,17,70,0.1954,112,329,0.340425531914894
191,telefon/IMG_20190715_123241.marked.txt,7,28,0.2,23,138,0.166666666666667
