,filename,errors count,good words count,metric,Levenshtein,Letters sum
7,skazki/IMG_20190715_121602.marked.txt,0,59,0,3,360
12,skazki/IMG_20190715_121834.marked.txt,0,56,0,7,344
18,skazki/IMG_20190715_121708.marked.txt,0,53,0,3,347
21,skazki/IMG_20190715_121339.marked.txt,0,52,0,28,305
23,skazki/IMG_20190715_122456.marked.txt,0,52,0,4,320
33,skazki/IMG_20190715_121324.marked.txt,0,47,0,9,298
36,skazki/IMG_20190715_121852.marked.txt,0,47,0,3,286
42,skazki/IMG_20190715_121823.marked.txt,0,46,0,3,279
44,skazki/IMG_20190715_121813.marked.txt,0,46,0,2,271
49,skazki/IMG_20190715_122451.marked.txt,0,45,0,11,295
86,skazki/IMG_20190715_122421.marked.txt,0,37,0,4,229
93,skazki/IMG_20190715_121527.marked.txt,0,35,0,2,239
94,skazki/IMG_20190715_121847.marked.txt,0,35,0,8,219
110,skazki/IMG_20190715_121905.marked.txt,0,33,0,2,214
112,skazki/IMG_20190715_122439.marked.txt,0,33,0,7,219
119,skazki/IMG_20190715_122442.marked.txt,0,31,0,3,216
138,mdd-redmi1/05.marked.txt,0,25,0,1,183
142,chudo_derevo_redmi/IMG_20190715_113041.marked.txt,0,24,0,15,167
146,chudo_derevo_redmi/IMG_20190715_112939.marked.txt,0,23,0,1,152
164,telefon/IMG_20190715_123159.marked.txt,0,20,0,4,132
169,skazki/IMG_20190715_121153.marked.txt,0,18,0,18,113
198,ola/IMG_5373.marked.txt,0,11,0,44,78
209,ola/IMG_5367.marked.txt,0,2,0,23,14
210,ola/IMG_5368.marked.txt,0,2,0,23,14
211,ola/IMG_5372.marked.txt,0,2,0,27,14
10,skazki/IMG_20190715_121948.marked.txt,1,57,0.01724,3,365
15,skazki/IMG_20190715_121915.marked.txt,1,55,0.01786,4,321
24,skazki/IMG_20190715_121953.marked.txt,1,51,0.01923,3,335
25,skazki/IMG_20190715_121229.marked.txt,1,50,0.01961,30,320
26,skazki/IMG_20190715_121735.marked.txt,1,50,0.01961,2,349
31,skazki/IMG_20190715_121513.marked.txt,1,49,0.02,4,291
35,skazki/IMG_20190715_121837.marked.txt,1,47,0.02083,3,297
37,skazki/IMG_20190715_121936.marked.txt,1,47,0.02083,3,322
40,skazki/IMG_20190715_121254.marked.txt,1,46,0.02128,6,291
43,skazki/IMG_20190715_121930.marked.txt,1,46,0.02128,3,296
48,skazki/IMG_20190715_121827.marked.txt,1,45,0.02174,1,275
50,skazki/IMG_20190715_121545.marked.txt,1,44,0.02222,3,295
52,skazki/IMG_20190715_121945.marked.txt,1,44,0.02222,1,282
54,skazki/IMG_20190715_122753.marked.txt,1,43,0.02273,76,267
59,skazki/IMG_20190715_121918.marked.txt,1,42,0.02326,2,284
60,skazki/IMG_20190715_121314.marked.txt,1,42,0.02326,20,256
64,skazki/IMG_20190715_121719.marked.txt,1,41,0.02381,4,296
67,skazki/IMG_20190715_121956.marked.txt,1,41,0.02381,26,287
68,skazki/IMG_20190715_122448.marked.txt,1,41,0.02381,11,264
77,skazki/IMG_20190715_121751.marked.txt,1,39,0.025,2,233
79,skazki/IMG_20190715_121138.marked.txt,1,38,0.02564,11,247
81,skazki/IMG_20190715_121346.marked.txt,1,38,0.02564,10,248
82,mdd_cannon1/07.marked.txt,1,37,0.02632,7,246
84,skazki/IMG_20190715_121530.marked.txt,1,37,0.02632,4,249
100,skazki/IMG_20190715_122742.marked.txt,1,34,0.02857,101,210
103,ola/IMG_5201.marked.txt,1,34,0.02857,5,267
114,mdd-redmi1/08.marked.txt,1,32,0.0303,7,194
116,mdd_cannon1/08.marked.txt,1,32,0.0303,10,194
118,skazki/IMG_20190715_121844.marked.txt,1,31,0.03125,3,184
123,skazki/IMG_20190715_121902.marked.txt,1,31,0.03125,1,205
4,skazki/IMG_20190715_121400.marked.txt,2,59,0.03279,28,354
6,skazki/IMG_20190715_121558.marked.txt,2,59,0.03279,3,359
128,skazki/IMG_20190715_122434.marked.txt,1,29,0.03333,28,194
22,skazki/IMG_20190715_121416.marked.txt,2,52,0.03704,6,325
141,chudo_derevo_redmi/IMG_20190715_113013.marked.txt,1,24,0.04,6,150
144,mdd_cannon1/05.marked.txt,1,24,0.04,3,183
34,skazki/IMG_20190715_121716.marked.txt,2,47,0.04082,14,298
39,skazki/IMG_20190715_121218.marked.txt,2,46,0.04167,29,296
41,skazki/IMG_20190715_121725.marked.txt,2,46,0.04167,3,306
151,chudo_derevo_redmi/IMG_20190715_112953.marked.txt,1,23,0.04167,7,137
45,skazki/IMG_20190715_121237.marked.txt,2,45,0.04255,4,278
46,skazki/IMG_20190715_121307.marked.txt,2,45,0.04255,19,278
53,skazki/IMG_20190715_121810.marked.txt,2,43,0.04444,4,274
55,skazki/IMG_20190715_121317.marked.txt,2,43,0.04444,4,271
156,ola/IMG_5374.marked.txt,1,21,0.04545,4,143
0,skazki/IMG_20190715_121240.marked.txt,3,62,0.04615,12,375
2,skazki/IMG_20190715_121403.marked.txt,3,60,0.04762,9,383
3,skazki/IMG_20190715_121351.marked.txt,3,60,0.04762,31,361
160,mdd-redmi1/04.marked.txt,1,20,0.04762,7,139
161,mdd_cannon1/04.marked.txt,1,20,0.04762,9,139
163,skazki/IMG_20190715_121157.marked.txt,1,20,0.04762,6,133
5,skazki/IMG_20190715_121423.marked.txt,3,59,0.04839,42,361
76,skazki/IMG_20190715_121142.marked.txt,2,39,0.04878,4,259
78,skazki/IMG_20190715_122409.marked.txt,2,39,0.04878,50,239
88,mdd-redmi1/12.marked.txt,2,37,0.05128,16,244
17,skazki/IMG_20190715_121327.marked.txt,3,53,0.05357,40,360
92,mdd_cannon1/06.marked.txt,2,35,0.05405,11,220
104,skazki/IMG_20190715_121215.marked.txt,2,34,0.05556,5,223
105,skazki/IMG_20190715_122431.marked.txt,2,34,0.05556,8,221
172,ola/IMG_5371.marked.txt,1,17,0.05556,10,123
109,skazki/IMG_20190715_121517.marked.txt,2,33,0.05714,15,229
111,skazki/IMG_20190715_122417.marked.txt,2,33,0.05714,33,217
113,mdd_cannon1/12.marked.txt,2,33,0.05714,24,223
28,skazki/IMG_20190715_121226.marked.txt,3,49,0.05769,13,320
179,telefon/IMG_20190715_123522.marked.txt,1,16,0.05882,40,120
124,skazki/IMG_20190715_122516.marked.txt,2,30,0.0625,18,225
125,skazki/IMG_20190715_122904.marked.txt,2,30,0.0625,81,210
182,chudo_derevo_redmi/IMG_20190715_113037.marked.txt,1,15,0.0625,43,103
186,telefon/IMG_20190715_123223.marked.txt,1,15,0.0625,2,98
51,skazki/IMG_20190715_121705.marked.txt,3,44,0.06383,5,316
9,skazki/IMG_20190715_121728.marked.txt,4,58,0.06452,5,383
127,skazki/IMG_20190715_121855.marked.txt,2,29,0.06452,7,201
129,skazki/IMG_20190715_122839.marked.txt,2,29,0.06452,78,200
